No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	2	100nF	C34,C43	C0603	100nF	FCC0603B104K500CT	FOJAN(富捷)	C5137636	LCSC
2	1	1uF	C46	C0603	1uF	CGA0603X5R105K500JT	HRE(芯声)	C6119852	LCSC
3	2	4.7uF	C47,C48	C0603	4.7uF	CL10A475KP8NNNC	SAMSUNG(三星)	C1705	LCSC
4	2	2.54-1*10	H1,H2	HDR-TH_10P-P2.54-V-M		2.54-1*10	ZHOURI(洲日)	C5156617	LCSC
5	1	WS2812B-B/T	LED1	LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B		WS2812B-B/T	worldsemi	C2761795	LCSC
6	1	YLED0805G	LED2	LED0805-FD-GREEN		YLED0805G	YONGYUTAI(永裕泰)	C25170728	LCSC
7	2	10kΩ	R12,R13	R0603	10kΩ	FRC0603J103 TS	FOJAN(富捷)	C2930027	LCSC
8	2	5.1kΩ	R14,R15	R0603	5.1kΩ	FRC0603F5101TS	FOJAN(富捷)	C2907044	LCSC
9	2	330Ω	R18,R19	R0603	330Ω	FRC0603J331 TS	FOJAN(富捷)	C2907152	LCSC
10	2	TS-1089S-02526	SW3,SW4	SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1		TS-1089S-02526	XUNPU(讯普)	C455282	LCSC
11	1	CH32V006F4P6	U1	TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL		CH32V006F4P6	WCH(南京沁恒)	C52753342	LCSC
12	1	XC6206-3.3V	U2	SOT-89-3_L4.3-W2.3-P1.50-LS4.3-BR		XC6206-3.3V	YONGYUTAI(永裕泰)	C7603199	LCSC
13	1	2.54-1*4	U7	HDR-TH_4P-P2.54-V-M-1		2.54-1*4	ZHOURI(洲日)	C5116483	LCSC
14	1	TYPE-C16PIN	USB1	USB-C-SMD_TYPE-C16PIN		TYPE-C16PIN	SHOU HAN(首韩)	C393939	LCSC
